bResult,blueTopChamp,blueJungleChamp,blueMiddleChamp,blueADCChamp,blueSupportChamp,redTopChamp,redJungleChamp,redMiddleChamp,redADCChamp,redSupportChamp
0,Cassiopeia,Tristana,XinZhao,Ornn,Thresh,Warwick,Singed,Blitzcrank,Ashe,Heimerdinger
0,LeeSin,Vladimir,Tristana,Janna,Taliyah,Kennen,Pantheon,Nautilus,Taric,Lucian
0,Vayne,Thresh,Leblanc,Kayn,Ashe,Zed,Irelia,Blitzcrank,Lucian,Nocturne
1,Draven,Zed,Soraka,Braum,Fiddlesticks,Yasuo,Sona,Jinx,Hecarim,Ekko
0,Janna,Riven,Sejuani,Jayce,Twitch,Vayne,Malzahar,Kayn,Gnar,Karma
0,Lucian,Janna,Kassadin,LeeSin,Galio,TwistedFate,Soraka,Malphite,JarvanIV,Vayne
0,Nautilus,XinZhao,JarvanIV,Kassadin,Ashe,Orianna,Corki,Shyvana,Nasus,Soraka
0,Azir,Diana,Vayne,Riven,Morgana,Jhin,Velkoz,MasterYi,Bard,Darius
1,Lux,Evelynn,Ezreal,Zed,Shen,Jinx,Ekko,Aatrox,Kayn,Lulu
0,Anivia,MissFortune,Jayce,Thresh,Kindred,Fiddlesticks,Morgana,Draven,Darius,Yasuo
0,Rengar,Orianna,Nami,Lucian,Kennen,Sejuani,Janna,Jayce,Ahri,Jhin
0,Sivir,Rakan,Fizz,Ornn,Kayn,Zed,Vladimir,Gragas,Nami,Tristana
